название тура,slug,ссылка max,статус
"Грузия за 4 дня: Тбилиси, Кахетия и Мцхета",gruziya-4-dnya,https://max.ru/id230814735866_2_bot?startapp=97,
"Грузия за 5 дней: Тбилиси, каньон Дашбаши и Кахетия",gruziya-5-dnej-dashbashi,https://max.ru/id230814735866_2_bot?startapp=96,
"Грузия за 5 дней: Тбилиси, Кахетия и Мцхета",gruziya-5-dnej-tblisi-kahetiya,https://max.ru/id230814735866_2_bot?startapp=95,
Гуамское ущелье и термальные источники,guamka-termy-relaks,https://max.ru/id230814735866_2_bot?startapp=84,тур в архиве
Гуамское ущелье и термальные источники,guamskoe-ushchele-i-termalnye-istochniki-bogema,https://max.ru/id230814735866_2_bot?startapp=155,
Гузерипль — Лаго-Наки — Термальные источники,guzeripl-lago-naki-termy,https://max.ru/id230814735866_2_bot?startapp=82,
"Гузерипль: по «тропе леопарда», заповедник, термальный источник",guzeripl-po-trope-leoparda-zapovednik-termalnyj-istochnik,https://max.ru/id230814735866_2_bot?startapp=163,
"Дагестан: Дербент, Махачкала, Сулакский каньон, Гамсутль, Салтинский водопад",dagestan-derbent-makhachkala-sulakskij-kanon-gamsutl-saltinskij-vodopad,https://max.ru/id230814735866_2_bot?startapp=167,
Дагестан: Сулакский каньон и Дербент,dagestan-4-dnya,https://max.ru/id230814735866_2_bot?startapp=13,
Два озера — Два моря: тюльпаны и Генеральские пляжи,dva-ozera-dva-morya-tyulpany-generalskie,https://max.ru/id230814735866_2_bot?startapp=139,тур в архиве
Дворцы и парки Крыма за 1 день: парад тюльпанов,dvortsy-i-parki-kryma-za-1-den-parad-tyulpanov,https://max.ru/id230814735866_2_bot?startapp=181,тур в архиве
"Двухдневная красавица Осетия: Цейское ущелье, Город мёртвых и Кармадон",krasavica-osetiya-2-dnya,https://max.ru/id230814735866_2_bot?startapp=109,тур в архиве
"День в Крыму: Мрия, сакура и Ялта",krym-mriya-sakura-yalta-1-den,https://max.ru/id230814735866_2_bot?startapp=92,тур в архиве
День в походе по загадочной Шапсугской,pokhod-po-shapsugskoj-dolmeny-labirint,https://max.ru/id230814735866_2_bot?startapp=143,тур в архиве
Домбай: выходные в горах,dombay-weekend,https://max.ru/id230814735866_2_bot?startapp=8,
Дорогами Беларуси,dorogami-belarusi-3-dnya,https://max.ru/id230814735866_2_bot?startapp=57,
Ж/Д тур в Санкт-Петербург «все самое интересное»,zh-d-tur-v-sankt-peterburg-vse-samoe-interesnoe,https://max.ru/id230814735866_2_bot?startapp=183,тур в архиве
Заповедная Беларусь,zapovednaya-belarus-3-dnya,https://max.ru/id230814735866_2_bot?startapp=63,
"Затерянная Абхазия: города-призраки, водопад Великан, Новый Афон, Гагра, о. Рица",zateryannaya-abkhaziya-goroda-prizraki-vodopad-velikan-novyj-afon-gagra-o-ritsa,https://max.ru/id230814735866_2_bot?startapp=161,
Земля под белыми крыльями,zemlya-pod-belymi-krylyami-10-dnej,https://max.ru/id230814735866_2_bot?startapp=61,
Знакомство с Беларусью: вся Белоруссия за 9 дней,znakomstvo-s-belarusyu-9-dnej,https://max.ru/id230814735866_2_bot?startapp=112,
"Знакомьтесь, Беларусь!",znakomtes-belarus-3-dnya,https://max.ru/id230814735866_2_bot?startapp=58,
Золотая Казань,kazan-zolotaya-3-dnya,https://max.ru/id230814735866_2_bot?startapp=45,
Золотое кольцо за выходные,zolotoe-kolco-weekend-2-dnya,https://max.ru/id230814735866_2_bot?startapp=70,
Золотое кольцо: Царство Жар-птицы,zolotoe-kolco-zhar-ptitsa-3-dnya,https://max.ru/id230814735866_2_bot?startapp=71,
Золотой Казан и Красный город,kazan-i-yoshkar-ola-6-dnej,https://max.ru/id230814735866_2_bot?startapp=48,
Июньские праздники в Беларуси,iyunskie-prazdniki-v-belarusi-4-dnya,https://max.ru/id230814735866_2_bot?startapp=66,
"К зубрам, замкам и БелАЗам",belarus-k-zubram-zamkam-belazam,https://max.ru/id230814735866_2_bot?startapp=60,
КавМинВоды — 5 курортных городов за 1 день,kavminvody-5-gorodov,https://max.ru/id230814735866_2_bot?startapp=26,
"КавМинВоды: Пятигорск, Кисловодск, Железноводск, Ессентуки",kavminvody-pyatigorsk-kislovodsk-zheleznovodsk-essentuki,https://max.ru/id230814735866_2_bot?startapp=169,
Казань день за днём,kazan-den-za-dnyom-5-dnej,https://max.ru/id230814735866_2_bot?startapp=46,
Казань на выходные,kazan-na-vyhodnye,https://max.ru/id230814735866_2_bot?startapp=44,
Казань — сокровища Татарстана,kazan-sokrovishcha-tatarstana,https://max.ru/id230814735866_2_bot?startapp=30,
"Калининград: Куршская коса, Балтийск и янтарный берег",kaliningrad-zhd-avia-tur,https://max.ru/id230814735866_2_bot?startapp=115,
Калмыкия: буддийские храмы + цветение тюльпанов,kalmykiya-buddijskie-khramy-tsvetenie-tyulpanov,https://max.ru/id230814735866_2_bot?startapp=175,тур в архиве
Классический Петербург — 7 дней,peterburg-klassicheskij-7-dnej,https://max.ru/id230814735866_2_bot?startapp=32,
Красивейший видовой тур по смотровым Лаго-Наки,krasivejshie-smotrovye-lago-naki-1-den,https://max.ru/id230814735866_2_bot?startapp=103,
Краснодар: история и секреты города,krasnodar-istoricheskij-centr-ekskursiya,https://max.ru/id230814735866_2_bot?startapp=98,
"Крым за 1 день: Феодосия, Судак, Старый Крым",krym-za-1-den-feodosiya-sudak-staryj-krym,https://max.ru/id230814735866_2_bot?startapp=178,тур в архиве
Крым: большое путешествие на 5 дней,krym-bolshoe-puteshestvie,https://max.ru/id230814735866_2_bot?startapp=15,
Крым: Новый Свет — Феодосия — Мрия,krym-novyj-svet-mriya-2-dnya,https://max.ru/id230814735866_2_bot?startapp=93,
"Крым: парад тюльпанов и цветение сакуры: Ялта, Утёс, Форос, Бахчисарай",krym-parad-tyulpanov-i-tsvetenie-sakury-yalta-utjos-foros-bakhchisaraj,https://max.ru/id230814735866_2_bot?startapp=179,тур в архиве
Крым: Фестиваль сакуры в Мрие и дворцы ЮБК,krym-mriya-dvorcy-jubk-2-dnya,https://max.ru/id230814735866_2_bot?startapp=94,тур в архиве
"Крым: ЮБК, Новый Херсонес и Севастополь",krym-jubk-novyj-hersones-sevastopol,https://max.ru/id230814735866_2_bot?startapp=91,
"Кубанская лоза: Лефкадия, винодельня «Мысхако» и вечер в Абрау",kubanskaya-loza-lefkadiya-myshako-abrau,https://max.ru/id230814735866_2_bot?startapp=118,тур в архиве
"Ледовое шоу Ильи Авербуха ""Чемпионы"" + цветущий парк Галицкого",ledovoe-shou-ili-averbukha-chempiony-tsvetushchij-park-galitskogo,https://max.ru/id230814735866_2_bot?startapp=180,тур в архиве
Летний Петербург — 6 дней,peterburg-letnij-6-dnej,https://max.ru/id230814735866_2_bot?startapp=34,
Лефкадия — Старый Парк — Шато-Пино,lefkadiya-staryj-park-shato-pino,https://max.ru/id230814735866_2_bot?startapp=85,
"Лучшая весна в Грузии и Армении: 7 дней, две страны",gruziya-i-armeniya-7-dnej,https://max.ru/id230814735866_2_bot?startapp=113,
Малое Золотое кольцо России,maloe-zolotoe-kolco-4-dnya,https://max.ru/id230814735866_2_bot?startapp=68,
"Маршрут ВелоSea: Голубая бухта, смотровые и Геленджик",velosea-golubaya-buhta-gelendzhik,https://max.ru/id230814735866_2_bot?startapp=133,
Мезмай: Орлиная полка и Верхнекурджипское ущелье,mezmaj-orlinaya-polka-verhnekurdzhipskoe,https://max.ru/id230814735866_2_bot?startapp=134,
"Мезмай: Орлиная полка, Гуамское ущелье и термальные источники",mezmaj-orlinaya-polka-guamskoe-termy,https://max.ru/id230814735866_2_bot?startapp=119,
"Морской вояж: Голубая бездна, скала Парус, Геленджик",morskoj-voyazh-golubaya-bezdna-parus-gelendzhik,https://max.ru/id230814735866_2_bot?startapp=152,
Москва день за днём,moskva-den-za-dnyom-5-dnej,https://max.ru/id230814735866_2_bot?startapp=40,
Москва на выходные,moskva-na-vyhodnye,https://max.ru/id230814735866_2_bot?startapp=38,
Москва — столичные выходные,moskva-stolichnye-vyhodnye,https://max.ru/id230814735866_2_bot?startapp=29,
Московская история за 7 дней,moskovskaya-istoriya-7-dnej,https://max.ru/id230814735866_2_bot?startapp=41,
Московский калейдоскоп,moskva-kalejdoskop-5-dnej,https://max.ru/id230814735866_2_bot?startapp=39,
"Новый свет, Судак, Феодосия (музей Айвазовского)",novyj-svet-sudak-feodosiya-muzej-ajvazovskogo,https://max.ru/id230814735866_2_bot?startapp=162,
От ущелий до Эльбруса: Кабардино-Балкария,ot-ushchelij-do-elbrusa-kabardino-balkariya,https://max.ru/id230814735866_2_bot?startapp=160,тур в архиве
Парад тюльпанов в Крыму и дворцы ЮБК,parad-tyulpanov-krym-dvorcy-2-dnya,https://max.ru/id230814735866_2_bot?startapp=110,
Парад тюльпанов и Новый Херсонес,parad-tyulpanov-novyj-hersones-1-den,https://max.ru/id230814735866_2_bot?startapp=137,тур в архиве
Парк Краснодар и Парк Облаков: экскурсия с гидом,park-krasnodar-oblakov-ekskursiya,https://max.ru/id230814735866_2_bot?startapp=99,
Парк Лога — сказочный парк у Каменска,park-loga-1-den,https://max.ru/id230814735866_2_bot?startapp=20,
Пасха в Абхазии: весна в стране души,pasha-v-abhazii-2-dnya,https://max.ru/id230814735866_2_bot?startapp=106,
"Пасха в Атамани: казачьи традиции, Тамань и Лермонтов",pasha-v-atamani-1-den,https://max.ru/id230814735866_2_bot?startapp=132,
Пасха в Свято-Михайловском мужском монастыре,pasha-svyato-mihajlovskij-monastyr-1-den,https://max.ru/id230814735866_2_bot?startapp=136,тур в архиве
Первомай в Домбае: величие гор,pervomaj-v-dombae-velichie-gor,https://max.ru/id230814735866_2_bot?startapp=187,тур в архиве
Петербург и Валаам на метеоре — 5 дней,peterburg-i-valaam-5-dnej,https://max.ru/id230814735866_2_bot?startapp=53,
Петербург и Выборг — 5 дней,peterburg-i-vyborg-5-dnej,https://max.ru/id230814735866_2_bot?startapp=52,
Петербург на выходные,peterburg-na-vyhodnye,https://max.ru/id230814735866_2_bot?startapp=31,
Петербург — Выборг — Карелия,peterburg-vyborg-kareliya-6-dnej,https://max.ru/id230814735866_2_bot?startapp=54,
Петербург — ночные мосты и Павловск,peterburg-razvodye-mostov-5-dnej,https://max.ru/id230814735866_2_bot?startapp=51,
Петербург — от Петра до небоскрёба,peterburg-ot-petra-do-neboskreba,https://max.ru/id230814735866_2_bot?startapp=33,
Петербургские истории с Выборгом — 7 дней,peterburg-istorii-vyborg-7-dnej,https://max.ru/id230814735866_2_bot?startapp=36,
Планческие скалы и конная ферма «Владимировка»,plancheskie-skaly-konnaya-ferma-vladimirovka,https://max.ru/id230814735866_2_bot?startapp=144,
Плато Бермамыт и Джилы-Су,bermamyt-dzhily-su,https://max.ru/id230814735866_2_bot?startapp=19,
Плато Лаго-Наки и Азишская пещера,lago-naki-1-den,https://max.ru/id230814735866_2_bot?startapp=1,
"По водопадам Мезмая: Темнолесье, Университетский и Чинарёв",vodopady-mezmaya-temnolesye,https://max.ru/id230814735866_2_bot?startapp=126,
"По смотровым местам Лаго-Наки: Крепость Меот, Азишская пещера",smotrovye-lago-naki-krepost-meot-azishskaya-peshchera,https://max.ru/id230814735866_2_bot?startapp=156,
"Погружение в горную Адыгею: Даховская панорама, Парящая беседка, Крепости Меот, спа-комплекс «Благодать»",pogruzhenie-v-gornuyu-adygeyu-dakhovskaya-panorama-paryashchaya-besedka-kreposti-meot-spa-kompleks-blagodat,https://max.ru/id230814735866_2_bot?startapp=171,
Покажите нам Москву,moskva-pokazhite-nam-4-dnya,https://max.ru/id230814735866_2_bot?startapp=42,
Поместье Голубицкое — Анапа — Супсех,golubickoe-anapa-supsex,https://max.ru/id230814735866_2_bot?startapp=83,
Портрет великого города — осень и зима,peterburg-portret-velikogo-goroda,https://max.ru/id230814735866_2_bot?startapp=35,
Путешествие в Чечню: Грозный и озеро Казеной-Ам,puteshestvie-v-chechnyu-groznyj-kazenoj-am,https://max.ru/id230814735866_2_bot?startapp=159,
Пятигорск и Кисловодск за 1 день,pyatigorsk-kislovodsk-1-den,https://max.ru/id230814735866_2_bot?startapp=5,
